NAME,ADDRESS,CLASS,ZONE,City,Country
MAPLE LEAF PARK,1120 14TH AVE,B,CENTRAL,Regina,Canada
MAPLE RIDGE PARK A,6918 MAPLE BROOK CRES,B,WEST,Regina,Canada
MAPLE RIDGE PARK B,6703 MAPLE RIDGE DR,B,WEST,Regina,Canada
MARKWELL PARK,334 MARKWELL DR,B,WEST,Regina,Canada
MARSH PARK,134 MARSH CRES,B,SOUTH,Regina,Canada
MASSEY PARK,2355 PARLIAMENT AVE,B,SOUTH,Regina,Canada
MAYFIELD PARK,112 MAYFIELD RD,B,EAST,Regina,Canada
McDERMID PARK,230 QUEBEC ST,B,NORTH,Regina,Canada
LIONS BALL PARK,230 QUEBEC ST,B,NORTH,Regina,Canada
MCGILLIVRAY PARK,32 MCGILLIVRAY CRES,B,WEST,Regina,Canada
MCINNIS PARK 1,115 MCINNIS CRES,B,NOTH,Regina,Canada
MCINNIS PARK 2,144 MCINNIS CRES,B,NORTH,Regina,Canada
MCKENNA PARK,5033 PADWICK RD,B,SOUTH,Regina,Canada
MCLEOD PARK,3500 QUEEN ST,C,SOUTH,Regina,Canada
MCLURG SCHOOL PARK,201 FULTON DR,B,WEST,Regina,Canada
MCMURCHY PARK,250 N GARNET ST,C,NORTH,Regina,Canada
MCNAB PARK,4802 11TH AVE,C,WEST,Regina,Canada
MCNAUGHTON PARK,54 MCNAUGHTON AVE,B,WEST,Regina,Canada
MCNIVEN PARK,1010 MCNIVEN AVE,C,SOUTH,Regina,Canada
MCVEETY PARK,1851 JUBILEE AVE,C,SOUTH,Regina,Canada
MEMORIAL CROSS PARK,4527 ELLARD WAY,B,WEST,Regina,Canada
MERLIN PARK 3,35 LAWSON ST,B,NORTH,Regina,Canada
MIKE BADHAM PARK,2606 GRANT RD,B,SOUTH,Regina,Canada
MILFORD PARK,220 CAMBRIDGE AVE,B,EAST,Regina,Canada
MILLAR PARK,65 MILLAR CRES,B,SOUTH,Regina,Canada
MOUNT PLEASANT SPORT PARK,750 N WINNIPEG ST,B,NORTH,Regina,Canada
MUNROE PARK,31 GARDINER AVE,B,SOUTH,Regina,Canada
MURPHY PARK,15 MURPHY CRES,B,WEST,Regina,Canada
NEFF PARK,2827 E NEFF RD,B,EAST,Regina,Canada
NEW ALBERT PARK,5002 MCTAVISH ST,B,SOUTH,Regina,Canada
NORSEMAN PARK,5081 BEACON DR,B,SOUTH,Regina,Canada
REGINA MINOR GIRLS,1825 9TH AVE N,B,NORTH,Regina,Canada
NORTH EAST PARK,1825 9TH AVE N,B,NORTH,Regina,Canada
NORTH WEST RESERVOIR PARK,401 DALGLIESH DR,B,WEST,Regina,Canada
OAKVIEW PARK,84 OAKVIEW DR,B,NORTH,Regina,Canada
OKIMASIS PARK,4200 WILD ROSE PL,B,EAST,Regina,Canada
OPTIMIST PARK,5221 DEWDNEY AVE,B,WEST,Regina,Canada
OXFORD PARK,1512 E 8TH AVE,B,EAST,Regina,Canada
PACER PARK,2501 ANAQUOD RD,,EAST,Regina,Canada
PAPPAS PARK,60 PAPPAS CRES,B,WEST,Regina,Canada
PARKDALE PARK,901 PRINCESS ST,B,CENTRAL,Regina,Canada
PARKLAND PARK,3210 E PARKLAND DR,B,EAST,Regina,Canada
PARKRIDGE PARK,1243 ROSSIE DR,B,EAST,Regina,Canada
PARLIAMENT PARK NORTH,3325 LAKEVIEW AVE,C,SOUTH,Regina,Canada
PARLIAMENT PARK SOUTH,3102 PARLIAMENT AVE,C,SOUTH,Regina,Canada
